video_id,split,y_true,y_proba,title,channel_title,category_title,view_count,predicted
PT2-km-1Dzo,test,1,0.03610118798691,ROV กลับมาทำฟอร์มไป 100 ดาว จริงจัง,MYRMIE,Gaming,11166.0,0
zFCvdwRhNRY,test,1,0.03781869322988513,รถไฟเหาะนินจากาแฟ 🚂 Roblox My Brainrot Roller Coaster,CKKID,Gaming,66216.0,0
u1mQiV6ubUw,test,1,0.03805638990617976,ก็จากรอยยิ้มที่คุ้นเคย มาในวันนี้ช่างเฉยเมย #BUSDICELIVESESSION #BUSbecauseofyouishine #DICE_SONRAY,TADA LABELS,Music,9894.0,0
f131jiMFZPc,test,1,0.039848565064778504,Roblox : BloxLife 👴 วัฏจักรชีวิตของนายมาตลอด !!!,Kutcha Wants2playz,Gaming,104587.0,0
VobyYFegQRk,test,1,0.040655036849278556,ก็จากรอยยิ้มที่คุ้นเคย มาในวันนี้ช่างเฉยเมย #BUSDICELIVESESSION #BUSbecauseofyouishine #DICE_SONRAY,TADA LABELS,Music,16286.0,0
e_RU7RYdMDo,test,1,0.04150532785777673,เเมวข่อย...บ้าเลือด !!! (EP10) เมื่อเเมวข่อยอยู่ในเกมอื่น  | Newtons Playground VR,A JECT PRo,Gaming,388645.0,0
cU85Ux3ngU0,test,1,0.04156592992015936,ROV พร้อมพาคนดูไปแรงค์ซูก่อนปีใหม่ พาดราฟตัว,MYRMIE,Gaming,8600.0,0
gJzP7rCGRlA,test,1,0.0434596146723541,ดีใจที่ไม่ต้องรอเธอทุกวัน 🫂 #BUS_ดีใจที่ไม่มีเธอ_MV #BUS_ดีใจที่ไม่มีเธอ #BUSbecauseofyouishine,TADA LABELS,Music,9917.0,0
8xcJI5f_AbU,test,1,0.04386978879227082,ฉันยืนอยู่ตรงที่เก่า🥀 #Mirrr #กำแพงหัวใจ #MirrrDAYDREAMINGTHE1STCONCERT #Whattheduckmusic,Whattheduck,Music,21876.0,0
xRGIpiNLxyw,test,1,0.04470729771942672,Roblox : CENTAURA 🎖️ เกมยิง แนวสงครามโลกที่สมจริงที่สุดตอนนี้ !!!,Kutcha Wants2playz,Gaming,140674.0,0
3Ku40zBIX9M,test,1,0.044898382528589485,ก็อตซิลล่า  เมืองไทย -   เพ้นท์ คอนเน่ TIG [ Official MV ],TIG Record,Music,4776201.0,0
zF9Bnh4vXh0,test,1,0.044904335696771755,ต่างชาติชมคนไทย [พากย์ไทย] {ต้นฉบับTikTok@joelsoffgrid } #Thailand #ต่างชาติพูดถึงคนไทย #คนไทยใจดี,bas za studio,Gaming,3197766.0,0
7ADIa5D1DAw,test,1,0.0450598497568641,FS_Flash ดับเฮี้ยน! 😂 ลบล้างคำสาปสำเร็จใน 𝐏𝐔𝐁𝐆 𝐆𝐋𝐎𝐁𝐀𝐋 𝐂𝐇𝐀𝐌𝐏𝐈𝐎𝐍𝐒𝐇𝐈𝐏 𝟐𝟎𝟐𝟓 🏆 | PUBG,PUBG: BATTLEGROUNDS THAILAND,Gaming,61465.0,0
